Review Text,Review Title,Review Submit Date and Time
,,2018-03-01T00:40:11Z
진짜좋군뇨,,2018-03-01T00:40:27Z
모르는 문제 있으면 바로바로 앱으로 알수있어서 완전좋습니다조아요 풀이도 이해가기쉽게 나와여 ~,,2018-03-01T00:52:07Z
진짜 좋은것 같아요!,,2018-03-01T00:56:43Z
조..조아여,,2018-03-01T01:03:40Z
완전좋아요!『,,2018-03-01T01:05:46Z
너무 좋아요! 모르눈 뮨제가 있을 때 참고하기 좋아요!!,,2018-03-01T01:10:45Z
주변에서 추천해줘서 쓰게되었는데 너무 간편하고 빠른결과를 볼수있어서 정말 좋아요 ㅠㅠ,,2018-03-01T01:16:56Z
좋음,,2018-03-01T01:26:31Z
어플이너무좋고 모르는문제가있을때는 이해하기쉽게 풀이되서좋네요!,,2018-03-01T01:48:34Z
완전좋아여!!!!,,2018-03-01T02:06:17Z
어려운거 친구한테 물어보면 자존심 많이 상한데 여기에다가 물어보면 자존심도 안상하고 더 정확히 알려줘서 확실히 좋네요,,2018-03-01T02:18:59Z
좋ㅇ음,,2018-03-01T02:23:23Z
모르는 문제 있을때 어떡해야 하나 고민했는데 이 앱 덕분에 해결됐어요,,2018-03-01T02:28:52Z
이거대박이네요!! 모르는 문제가 있어도 해결 짱짱!,,2018-03-01T02:30:13Z
너무 도움되고 찍는것도 잼있고ㅎㅎ,,2018-03-01T02:32:15Z
"사진 한 장으로 유사한 유형의 문제나 그 문제를 찾아볼 수 있어서 접근하기 쉬웠고, 그 문제가 없을 때는 질문권을 통해 빠르고 정확한 풀이와 답을 알 수 있어서 좋아요.",,2018-03-01T02:36:26Z
,,2018-03-01T02:43:07Z
,,2018-03-01T02:45:18Z
,,2018-03-01T02:46:41Z
진짜 도움 많이되고 실용성 있어서 좋아요 짱,,2018-03-01T02:48:53Z
좋아용,,2018-03-01T02:53:04Z
문제를 풀어줘서 좋아영,,2018-03-01T02:55:53Z
,,2018-03-01T02:57:29Z
실시간 좋아요,,2018-03-01T02:56:40Z
짱좋아요 추천드립니다,,2018-03-01T03:02:55Z
,,2018-03-01T03:03:24Z
혹시다른과목도이렇게할생각없나요?,,2018-03-01T03:10:11Z
,,2018-03-01T03:21:07Z
생각보다 좋음,,2018-03-01T03:22:56Z
,,2018-03-01T03:34:04Z
굿굿,,2018-03-01T03:53:35Z
문제 푸는데 항상 도움 되요!선생님도 친절하시구요,,2018-03-01T03:55:25Z
와......안 될 줄 알았는데 진짜 되다니......엄청난 기술력이다..,,2018-03-01T03:56:40Z
최고에요,,2018-03-01T04:00:21Z
,,2018-03-01T04:04:33Z
혼자 공부할때 정말 유용한거 같아요! 감사합니다ㅠㅠ 자주 애용할게요😊😊,,2018-03-01T04:24:35Z
좋긴한데 질문권을 사야하고 이런점이 불편하네요,,2018-03-01T04:33:06Z
완전좋아요!,,2018-03-01T04:57:26Z
,,2018-03-01T05:02:38Z
Good,,2018-03-01T05:03:06Z
"친구들한테 물어보는것도 한계가 있어서 모르는 문제가 나오면 정말 힘들었는데, 콴다에서 자세히 알기쉽게 풀이해 보여주시니 수학공부가 정말 편합니다",,2018-03-01T05:01:44Z
너무 좋아요! 모르는 문제가 있을때 찍으면 비슷한 유형의 문제나 똑같은 문제가 나오는데 이해가 안되면 선생님께 풀이도 받을 수 있어서 만족합니다:&gt;,,2018-03-01T05:04:54Z
이 앱은 자기주도학습을 할 때 큰 도움이 될 것 같습니다.,,2018-03-01T05:09:10Z
좋아요,,2018-03-01T05:16:02Z
너무 좋아요 선생님들도 친절하세요,,2018-03-01T05:16:30Z
넘넘 좋아요! 문제도 제가 모르는 문제와 똑같이 나오고 풀이도 자세해서 더 좋네요 ♡.,,2018-03-01T05:38:16Z
"좋다,,,,",,2018-03-01T05:46:08Z
좋아요,,2018-03-01T05:47:19Z
모르는문제를 바로바로 확인하기 편해서 혼자 공부하기 좋아요 ! 잘쓰겠습니던 !,,2018-03-01T05:50:38Z
,,2018-03-01T05:52:48Z
학생들에게 필요한 앱,,2018-03-01T06:01:05Z
,,2018-03-01T06:06:44Z
너무 좋아요 모르는문제를 바로바로 알해줘서 해결하기도 쉽고 이해도 쉽네요,,2018-03-01T06:13:33Z
너무좋아요! 옛날엔 그냥 친구한테물어봐서 친구가 설명한걸이해못할때가많았는데 콴다에물어보니깐 더 정확해게 이해됬어요!,,2018-03-01T06:13:03Z
,,2018-03-01T06:15:41Z
빨리 풀어야되는데 모르는문제풀때 선생님들이 빠르게 풀이해주셔서 좋아욤 !!,,2018-03-01T06:22:03Z
제가 학원에서물어볼때는 공식만 설명해 주는데 이앱은 너무나도 잘알려주는거같아요 !!!,,2018-03-01T06:29:08Z
모르는 문제를 다양한 방식으로 알려줘서 좋네요!,,2018-03-01T06:31:43Z
,,2018-03-01T06:34:04Z
,,2018-03-01T06:47:23Z
너무 좋아요!,,2018-03-01T06:51:46Z
진짜 짱 좋아요.. 모르는거 물어볼때 진짜 유용합니다ㅜㅜ,,2018-03-01T06:52:20Z
"이앱은 진짜 혁명이에요,,미친 무슨 똑같은 문제를 막 찾아주고 쌤한테 물어보고,,ㄷㄷ",,2018-03-01T06:53:23Z
좋음,,2018-03-01T06:54:30Z
모르는 문제를 쉽게 알 수 있어 좋아요!,,2018-03-01T07:22:33Z
,,2018-03-01T07:30:35Z
이거 좋긴한데 제가 처음 질문을해서 뭐를받았는데 이거 돈나가나요?..제가 잘몰라서..근데 답변도 바로바로 해주시고 짱입니다..근데 돈안내고 무료로 하면 더 짱일것같아요..,,2018-03-01T07:29:37Z
좋음 해보셈 초등학생은 돈없어서 힘들듯,,2018-03-01T07:39:42Z
문제의 정확한 풀이를 볼 수 있어서 좋아요,,2018-03-01T07:42:07Z
,,2018-03-01T07:47:42Z
,,2018-03-01T08:00:27Z
,,2018-03-01T08:01:28Z
완전 좋네요 모르는 문제를 바로바로 확인할 수 있으니 편리하고 좋아요,,2018-03-01T08:01:16Z
실시간으로 문제풀이를 봐서 너무 좋습니다! 앞으로도 화이팅!,,2018-03-01T08:09:16Z
짱좋음,,2018-03-01T08:10:03Z
진짜 좋아요 !,,2018-03-01T08:18:55Z
좋음,,2018-03-01T08:19:19Z
다 좋은데 유료인게 아쉽네요..,,2018-03-01T08:19:27Z
,,2018-03-01T08:22:18Z
,,2018-03-01T08:29:42Z
정말 좋은데 유료라는게 아쉽네요,,2018-03-01T08:29:45Z
"문제가 바로 검색되는점, 그리고 정확성은 좋지만 풀이가 해당 문제지의 답지와 다르지 않다는 점은 아쉽네요(자세한 풀이 알기 어려움)",,2018-03-01T08:37:50Z
,,2018-03-01T08:41:10Z
정말 좋아연,,2018-03-01T08:42:30Z
메가스터디랑 똑같은 아이디 비번 입력했는데도 메가에서는 되는데 여기선 안되는 이유좀요...저는 학부모 회원도 아닙니다만...,,2018-03-01T08:44:00Z
좋아요,,2018-03-01T08:39:28Z
너무 좋아요,,2018-03-01T08:56:33Z
,,2018-03-01T09:00:28Z
지금은 무료로 써보고있는데 좋네욤,,2018-03-01T09:03:06Z
꿀임,,2018-03-01T09:07:19Z
내가 써본 것 중 가장 맘에 드는것,,2018-03-01T09:09:50Z
정말 편리 하네요^^,,2018-03-01T09:15:06Z
,,2018-03-01T09:19:06Z
,,2018-03-01T09:21:32Z
넘나 조은것!,,2018-03-01T09:27:05Z
,,2018-03-01T09:28:47Z
모르는 문제를 찍어서 올리면 바로 답변이 올라와서 너무 편하고 좋아요 ️❣️,,2018-03-01T09:28:10Z
좋긴한데 답지에 있는거 그대로 가져오는거라 좀 식상해요 그래도 모르는거 있을때 선생님께 질문하기 있어서 가끔씩 물어보네요,,2018-03-01T09:40:25Z
헐 이거 짱좋아요♡,,2018-03-01T09:45:50Z
넘조은 앱이네용~^^♡♡♡,,2018-03-01T10:11:42Z
되게좋아여,,2018-03-01T10:15:41Z
짱짱좋아요 더 많이 알려져야 한다고 생각합니다 그리고 선생님들에 대한 보상이 좀더 강화되어야한다고 생각합니다...!,,2018-03-01T10:21:25Z
너무 좋아요 근데 유료..ㅠㅠㅠ,,2018-03-01T10:24:34Z
좋아요 편리하게 검색해서 사용할 수 있다는 게 독특하고 새롭고 좋네요. 더 많은 사람들이 이용하면 좋겠네요,,2018-03-01T10:23:07Z
좋다,,2018-03-01T10:30:02Z
좋아요,,2018-03-01T10:34:28Z
,,2018-03-01T10:34:34Z
,,2018-03-01T10:38:19Z
완전 짱짱맨 모르는 문제를 실시간으로 꼼꼼하게 풀이를 보여주시네요 완전 좋아요ㅠㅠㅠ,,2018-03-01T10:39:09Z
,,2018-03-01T10:48:02Z
와진짜콴다최고에여ㅜㅜ 개발자님사랑해여♡♡♡♡♡♡♡♡,,2018-03-01T10:52:13Z
아주간편하고최고예묘,,2018-03-01T10:53:04Z
저는 제 문제랑 똑같은 게 않나오는데 어떻게 된거죠 다른 분들의견 들어도 저만 그런것 같고 알아주세여,,2018-03-01T10:57:06Z
,,2018-03-01T11:09:45Z
약간 다른문제가 나오지만 꽤 괜찮네요,,2018-03-01T11:10:50Z
별로에요 ㅠ.,,2018-03-01T11:12:46Z
우와,,2018-03-01T11:22:21Z
가끔 원하는문제가 안나오긴 하는데 매우 좋은어플입니다 추천,,2018-03-01T11:23:42Z
콴다 너무 조아여 역시 갓 콴다!!,,2018-03-01T11:25:41Z
힘들때 완전 좋아요!저갔은 조금(?)바부들은 많이 막혀요!ㅜㅜ 그때 쓰면 아주좋아여! 힘든 문제 바로바로 해주고 근데...와이파이나 데이터 없으면 잘안돼...요...ㅜ 그치만 좋습니다~,,2018-03-01T11:37:57Z
실시간으로 문제를 풀이해줘서 좋다고 생각 합니다,,2018-03-01T11:38:10Z
선생님들도 친절하시고 이앱 진짜 짱좋아요! 만드신분 진짜 댑악! 최고에요!,,2018-03-01T11:40:17Z
수학문제 어려울 때 사용하면 되게 편리해요!!,,2018-03-01T11:43:13Z
수학 문제 풀기 너무 좋아요!! 어렵던 문제도 쉽게 풀리고 선생님들이 친절하게 가르쳐 주셔서 너무 좋습니다^!^,,2018-03-01T11:43:53Z
,,2018-03-01T11:58:07Z
평소에 수학학원 다니면서 어려운 문제들이 많아 힘들었는데 이 앱 덕분에 편하게 수학숙제 할 수 있게되었네요! 정말 좋은 앱인것 같습니당,,2018-03-01T11:57:39Z
,,2018-03-01T11:59:56Z
정말 조아욤,,2018-03-01T12:00:20Z
굿!!! 굿잡 엄마가 문제집할때찍어서 고맙습니다,,2018-03-01T12:12:14Z
수학 문제풀다가 막힐때가 종종 있는데 그럴때마다 유용하게 쓰이는거같아서 좋아요!,,2018-03-01T12:17:11Z
문제를 다른사람이 풀이한걸 안보여주네요;; 아 삭제할까,,2018-03-01T12:17:27Z
학원숙제하다가 막혔을때 찍기만 하면 답이 나오니깐 되게 간편하게 하기두 좋은거 같구 쌤앞에서 물어보기 민망한데 이렇게 찍기만하면 풀이까지 나오니깐 짱좋은거 같아요!,,2018-03-01T12:19:47Z
짱!,,2018-03-01T12:23:02Z
사진 찰칵소리안낫으면좋겠어요,,2018-03-01T12:26:16Z
좋은것같아요~!,,2018-03-01T12:26:38Z
안나오는 문제도 많넹 ㅡ.ㅡ,,2018-03-01T12:28:35Z
문제 어려울때 쓰면 너무 좋아여!!,,2018-03-01T12:32:08Z
,,2018-03-01T12:35:28Z
적극 추천하구요. 모르는게 있을 때 사진 찍으면 풀이과정과 답이 정확하게 나와있어요. 사진 찍으면 나오는게 정말 신기합니다. 선생님들 강의도 들을 수 있어서 공부를 잘하고 싶은 분들께 추천드립니당 ㅎㅎ.......,,2018-03-01T12:35:07Z
너무 좋아욜,,2018-03-01T12:39:18Z
왔노라 보았노라 풀었노라,,2018-03-01T12:41:37Z
좋아요,,2018-03-01T12:48:21Z
문제 답도 금방금방 오고 실용성도 짱이예요!!,,2018-03-01T12:49:29Z
정말 좋아요!문제를 사진찍으면 그냥 답이 나와요! 물론 풀이도 같이! 모르는 문제가 있으면 써보면 좋습니다 하지만!..자신의 힘으로 문제를 풀어나가야지만 실력이 늘어요..!,,2018-03-01T12:53:09Z
이 앱은 레전드다,,2018-03-01T12:58:17Z
겁나좋음,,2018-03-01T13:02:54Z
개꿀,,2018-03-01T13:05:14Z
모르는 문제가 많았는데 정말 편리합니다^^,,2018-03-01T13:05:49Z
,,2018-03-01T13:07:44Z
좋아요,,2018-03-01T13:07:44Z
너무 좋아요ㅎㅎ 다양한 과목들을 할 수 있는게 정말 장점인 앱인것같아여,,2018-03-01T13:09:38Z
진짜 좋아요 너무 잘쓰고있어요,,2018-03-01T13:12:24Z
너무 좋아용♥,,2018-03-01T13:15:03Z
완전히똑같은문제가 다 나오는것은 아니지만 비슷한문제라도나와 참고가 가능해서 수학문제를 풀기가 훨씬 더 쉬워졌어요!,,2018-03-01T13:17:22Z
선생님들도 친절히 모든 답을 해주셔서 매우 만족합니다!,,2018-03-01T13:17:46Z
상당히 좋네요 유사한 유형 문제까지 제시해주고.,,2018-03-01T13:22:47Z
이걸로 학원숙제진짜 쉽게 하면서 쉽게 이해했어요ㅠㅠ 진짜 강추 어플,,2018-03-01T13:23:57Z
모르는문제가있을때 도움이많이됬어요,,2018-03-01T13:26:11Z
완전 유용합니다 !!,,2018-03-01T13:29:27Z
넘나 좋습니다! 문제풀이 겁나 잘됨...!,,2018-03-01T13:31:52Z
좋다,,2018-03-01T13:35:26Z
과제 제출전 날 밤이라 모르는 문제가 있어 물어보지 못하고 안절부절 하고 있었는데 전에 유투브를 보다 광고가 생각나서 깔아서 사용해 보았는데 찍자 말자 바로 똑같은 문제와 상세한 풀이기 올라와서 좋았어요😁😁,,2018-03-01T13:41:12Z
너무 좋아요! 모르는 문제를 찍어서 보내면 선생님드리 알아서 모르는핵심을 콕찝어서 알려주시니까 너무 좋은것 같아요! 콴다 화이팅!,,2018-03-01T13:53:38Z
친구한테 추천을 받아 깔게됬는데 정말좋네요!!,,2018-03-01T13:54:00Z
약 1년 전 좌담회 참석했던 학생인데 1년만에 앱이 정말 엄청나게 발전했네요...! 고3 수험생활동안 유용히 쓰겠습니다 ㅎㅎ,,2018-03-01T13:56:12Z
모르는문제찍으면바로바로알려주고짱좋아요!!💎💕🍥🌨,,2018-03-01T13:58:13Z
궁금한거 있을때 바로바로 물어볼 수 있어서 매우 좋습니다.,,2018-03-01T14:00:52Z
적극추천해요 막히는거있을때 계산기쓰고 양심버리는것보단 콴다하세요,,2018-03-01T14:02:43Z
좋아요♥,,2018-03-01T14:16:05Z
이거 정말 유용하고 모르는문제 알기쉽게 풀어주셔서 감사합니다!,,2018-03-01T14:16:43Z
너어무 좋다,,2018-03-01T14:28:48Z
,,2018-03-01T14:31:40Z
,,2018-03-01T14:33:50Z
너무 좋지만 저장공간이 많이 써져요,,2018-03-01T14:33:24Z
혼자서 풀기힘든문제와 비슷한유형의 문제풀이를 보면서 해보니 잘 풀리고 검색했을때 똑같은문제풀이가 많아서 좋아요,,2018-03-01T14:37:48Z
,,2018-03-01T14:39:33Z
,,2018-03-01T14:44:57Z
,,2018-03-01T15:41:53Z
,,2018-03-01T15:42:24Z
이거 짱인 것 같아요! 모르는 문제도 풀이 나와있고 이해가 안되면 선생님들한테 질문 할 수 있어서 좋은 것 같아요!,,2018-03-01T15:52:06Z
설마했는데 야밤에 선생님으로부터 답장이와 깜짝 놀랐습니다! 짱입니당~,,2018-03-01T16:03:54Z
완잔 좋습니다,,2018-03-01T16:09:21Z
..... 너무좋아요,,2018-03-01T16:11:43Z
너무 저한테 딱 맞는 앱인거 같아요,,2018-03-01T17:47:03Z
,,2018-03-01T18:23:13Z
친구들이 추천해줘서 한번 써 봤는데 호오..이리 친절한 앱이 있었다니,,2018-03-01T20:35:20Z
완전 짱!!!! 진짜 도움 많이되요!! 문제집을 샀는데 어려워서 콴다를 사용해봤더니 슈퍼그레잇입니다!! 진짜 꼳 추천!!!,,2018-03-01T22:29:14Z
쉽고 빠르게 모르는 뭄제를 풀수있어서 좋아요,,2018-03-01T22:36:41Z
근데 질문권을 현질하게 유도하는것같은데 이러면 급하게 질문 물을때 어쩌라는거임?,,2018-03-02T00:19:48Z
모르는 문제도 풀어주고 예사문제도 볼 수 있어서 좋습니다.,,2018-03-02T01:04:24Z
유용해요!,,2018-03-02T04:07:20Z
학생들이나 쌤들한테 적극 추천,,2018-03-02T04:37:21Z
나 원래 이런 리뷰같은거 잘 안다는데 이 앱은 완전~ 👍,,2018-03-02T04:41:47Z
사진 한 장으로 검색하는 게 너무 편해요,,2017-09-09T04:55:22Z
중말좋아요,,2018-03-02T04:45:29Z
혼자서 공부하는 사람들한테 정말 좋은거같아요,,2018-03-02T04:58:01Z
,,2018-03-02T05:04:14Z
정말쉽고간편해서 좋아요,,2018-03-02T05:30:50Z
